iter	Passed	Remaining
798	11682	2938
799	11696	2924
800	11709	2909
801	11723	2894
802	11738	2879
803	11753	2865
804	11766	2850
805	11782	2835
806	11796	2821
807	11811	2806
808	11826	2792
809	11840	2777
810	11856	2763
811	11872	2748
812	11887	2734
813	11902	2719
814	11916	2705
815	11933	2690
816	11948	2676
817	11961	2661
818	11975	2646
819	11989	2631
820	12004	2617
821	12017	2602
822	12031	2587
823	12046	2572
824	12061	2558
825	12076	2543
826	12089	2528
827	12103	2514
828	12117	2499
829	12132	2484
830	12147	2470
831	12162	2455
832	12177	2441
833	12193	2426
834	12207	2412
835	12226	2398
836	12241	2384
837	12256	2369
838	12271	2354
839	12286	2340
840	12302	2325
841	12317	2311
842	12331	2296
843	12347	2282
844	12361	2267
845	12376	2252
846	12390	2238
847	12404	2223
848	12418	2208
849	12433	2194
850	12446	2179
851	12459	2164
852	12473	2149
853	12486	2134
854	12498	2119
855	12512	2104
856	12526	2090
857	12538	2075
858	12551	2060
859	12564	2045
860	12578	2030
861	12595	2016
862	12608	2001
863	12622	1986
864	12636	1972
865	12650	1957
866	12664	1942
867	12678	1928
868	12692	1913
869	12706	1898
870	12719	1883
871	12732	1869
872	12746	1854
873	12760	1839
874	12774	1824
875	12788	1810
876	12802	1795
877	12816	1780
878	12831	1766
879	12844	1751
880	12858	1736
881	12872	1722
882	12885	1707
883	12898	1692
884	12912	1677
885	12925	1663
886	12938	1648
887	12950	1633
888	12963	1618
889	12978	1604
890	12991	1589
891	13006	1574
892	13020	1560
893	13034	1545
894	13048	1530
895	13062	1516
896	13075	1501
897	13090	1486
898	13104	1472
899	13119	1457
900	13134	1443
901	13155	1429
902	13175	1415
903	13199	1401
904	13219	1387
905	13236	1373
906	13252	1358
907	13266	1344
908	13279	1329
909	13294	1314
910	13308	1300
911	13323	1285
912	13337	1270
913	13350	1256
914	13365	1241
915	13380	1226
916	13394	1212
917	13408	1197
918	13424	1183
919	13438	1168
920	13453	1153
921	13468	1139
922	13481	1124
923	13496	1110
924	13510	1095
925	13524	1080
926	13538	1066
927	13552	1051
928	13566	1036
929	13580	1022
930	13595	1007
931	13609	992
932	13623	978
933	13636	963
934	13651	949
935	13665	934
936	13679	919
937	13693	905
938	13708	890
939	13722	875
940	13735	861
941	13749	846
942	13763	831
943	13777	817
944	13791	802
945	13804	787
946	13817	773
947	13830	758
948	13844	744
949	13858	729
950	13872	714
951	13886	700
952	13900	685
953	13913	670
954	13927	656
955	13940	641
956	13954	626
957	13970	612
958	13984	597
959	13997	583
960	14011	568
961	14024	553
962	14038	539
963	14051	524
964	14065	510
965	14078	495
966	14093	480
967	14107	466
968	14121	451
969	14136	437
970	14149	422
971	14161	407
972	14173	393
973	14186	378
974	14201	364
975	14215	349
976	14229	334
977	14242	320
978	14256	305
979	14272	291
980	14287	276
981	14302	262
982	14315	247
983	14329	233
984	14342	218
985	14356	203
986	14371	189
987	14385	174
988	14400	160
989	14415	145
990	14428	131
991	14444	116
992	14458	101
993	14471	87
994	14484	72
995	14498	58
996	14512	43
997	14527	29
998	14541	14
999	14555	0
